School,SchoolCategory,District,Year,mathNLImet,mathLImet,SchoolType,LowIncome,ELL,SpecialEd,Enrollment,NLIGradRate,LIGradRate
APOLLO ELEMENTARY,Elem,ISSAQUAH SD,2009,87.22,41.18,Public,17.12,5.41,6.76,222,,
APOLLO ELEMENTARY,Elem,ISSAQUAH SD,2010,90.45,42.22,Public,21.4,7.42,6.99,229,,
APOLO HIGH SCHOOL,High,WINLOCK SD,2010,,,Alternative,0,0,,13,54.64,75
APOLO HIGH SCHOOL,High,WINLOCK SD,2008,0,,Alternative,,,,17,39.27,78.22
APOLO HIGH SCHOOL,High,WINLOCK SD,2009,9.09,0,Alternative,,,,21,86.54,66.67
APPLE VALLEY ELEMENT,Elem,WEST VLY (YAK)SD,2010,70.29,40,Public,28.35,0,17.53,194,,
APPLE VALLEY ELEMENT,Elem,WEST VLY (YAK)SD,2009,79.35,59.68,Public,28.57,0,13.82,217,,
APPLE VALLEY ELEMENT,Elem,WEST VLY (YAK)SD,2008,83.92,52.17,Public,24.61,0,17.8,191,,
ARBOR HEIGHTS ELEMEN,Elem,SEATTLE PS,2010,51.02,34.78,Public,47.03,13.51,29.19,185,,
ARBOR HEIGHTS ELEMEN,Elem,SEATTLE PS,2009,62.77,30.77,Public,38.56,12.42,30.72,153,,
ARBOR HEIGHTS ELEMEN,Elem,SEATTLE PS,2008,63.27,47.46,Public,39.63,14.63,30.49,164,,
ARCADIA ELEMENTARY,Elem,DEER PARK SD,2010,66.12,56.84,Public,56.19,,17.62,420,,
ARCADIA ELEMENTARY,Elem,DEER PARK SD,2009,67.27,58.16,Public,59.56,,19.85,408,,
ARCADIA ELEMENTARY,Elem,DEER PARK SD,2008,76.09,60.62,Public,55.66,,18.55,415,,
ARDMORE ELEMENTARY S,Elem,BELLEVUE SD,2010,64.52,62,Public,51.88,18.05,24.06,133,,
ARDMORE ELEMENTARY S,Elem,BELLEVUE SD,2008,66.13,48.72,Public,49.22,25.78,11.72,128,,
ARDMORE ELEMENTARY S,Elem,BELLEVUE SD,2009,73.02,55.56,Public,48.84,19.38,13.18,129,,
ARLINGTON,Elem,TACOMA SD,2010,16.67,29.63,Public,84.38,0,22.66,128,,
ARLINGTON,Elem,TACOMA SD,2009,48.84,32.46,Public,72.67,,17.39,161,,
